link,price,title,photo_id,page_n,clothing_type,title_lemmatized,topic
https://roe.shein.com/Solid-Twist-Front-Blouse-p-10856652-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",solid twist front blouse,tops_1_38,1,tops,"['solid', 'twist', 'front', 'blouse']",8
https://roe.shein.com/SHEIN-Floral-Print-High-Low-Hem-Cami-Top-p-10896342-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",shein floral print high low hem cami top,tops_1_39,1,tops,"['shein', 'floral', 'print', 'high', 'low', 'hem', 'cami', 'top']",0
https://roe.shein.com/Marble-Print-Button-Front-Blouse-p-10825873-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",marble print button front blouse,tops_1_40,1,tops,"['marble', 'print', 'button', 'front', 'blouse']",8
https://roe.shein.com/Color-Block-Mock-Neck-Rib-Knit-Tee-p-10729983-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",color block mock neck rib knit tee,tops_1_41,1,tops,"['color', 'block', 'mock', 'neck', 'rib', 'knit', 'tee']",11
https://roe.shein.com/Frilled-Neck-Keyhole-Back-Blouse-p-10743661-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",frilled neck keyhole back blouse,tops_1_42,1,tops,"['frilled', 'neck', 'keyhole', 'back', 'blouse']",8
https://roe.shein.com/Polka-Dot-Butterfly-Sleeve-Blouse-p-10250873-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",polka dot butterfly sleeve blouse,tops_1_43,1,tops,"['polka', 'dot', 'butterfly', 'sleeve', 'blouse']",8
https://roe.shein.com/Solid-Rib-knit-Tank-Top-p-10459279-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",solid rib-knit tank top,tops_1_44,1,tops,"['solid', 'rib-knit', 'tank', 'top']",0
https://roe.shein.com/Colorblock-Twist-Front-Cut-Out-Crop-Halter-Top-p-10876996-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",colorblock twist front cut out crop halter top,tops_1_45,1,tops,"['colorblock', 'twist', 'front', 'cut', 'out', 'crop', 'halter', 'top']",0
https://roe.shein.com/Backless-Crop-Halter-Top-p-10653853-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",backless crop halter top,tops_1_46,1,tops,"['backless', 'crop', 'halter', 'top']",0
https://roe.shein.com/Graphic-Print-Button-Front-Shirt-p-10370261-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"11,00€",graphic print button front shirt,tops_1_47,1,tops,"['graphic', 'print', 'button', 'front', 'shirt']",8
